word,meaning,synonym1,synonym2,antonym1,antonym2,example_sentence
commence,to begin or start,begin,start,end,finish,The ceremony will commence at noon precisely.
commit,to do or carry out an action,do,perform,avoid,neglect,He would never commit such a terrible act.
commotion,noisy confusion and disturbance,disturbance,uproar,calm,peace,The escaped hamster caused a commotion in the classroom.
communicate,to share information with others,convey,express,withhold,hide,It is important to communicate clearly with your team.
companion,a person or animal you spend time with,friend,partner,stranger,enemy,The dog was a loyal companion to the old man.
compel,to force someone to do something,force,oblige,allow,permit,The evidence compelled him to change his mind.
compelling,very interesting or convincing,fascinating,convincing,boring,unconvincing,The compelling story kept readers turning the pages.
competition,a contest between rivals,contest,rivalry,cooperation,agreement,The swimming competition was won by a new champion.
compile,to collect and put together,collect,gather,scatter,disperse,She compiled a list of all the books she had read.
complacent,too satisfied and not trying hard enough,smug,self-satisfied,concerned,alert,The team became complacent after winning several matches.
complaisant,willing to please others,obliging,agreeable,uncooperative,difficult,The complaisant assistant helped with every request.
completely,totally and entirely,totally,entirely,partially,partly,The house was completely destroyed by the fire.
complex,complicated and difficult to understand,complicated,intricate,simple,straightforward,The puzzle was too complex for the young children.
compliance,following rules or requests,obedience,conformity,defiance,resistance,The school required compliance with the uniform policy.
complicit,involved in wrongdoing with others,involved,participating,innocent,uninvolved,He was complicit in the plan to cheat on the test.
complicity,being involved in wrongdoing,involvement,collaboration,innocence,non-involvement,Her complicity in the scheme was proven by the evidence.
compliment,a polite expression of praise,praise,flattery,insult,criticism,She received many compliments on her beautiful dress.
compose,to create or write music or text,create,write,destroy,demolish,The musician began to compose a new symphony.
composed,calm and in control,calm,collected,agitated,flustered,She remained composed during the difficult interview.
composition,a piece of music or writing,piece,work,fragment,part,The student wrote a composition about her summer holiday.
composure,being calm and controlled,calmness,poise,panic,agitation,He kept his composure even when asked difficult questions.
comprehend,to understand something fully,understand,grasp,misunderstand,confuse,It took time to comprehend the complex instructions.
compromise,an agreement where both sides give up something,agreement,settlement,deadlock,conflict,They reached a compromise about who would use the computer first.
comrade,a companion or fellow soldier,friend,colleague,enemy,foe,The soldier helped his injured comrade to safety.
conceal,to hide something from others,hide,cover,reveal,expose,She tried to conceal her disappointment with a smile.
concede,to admit something is true or give up,admit,acknowledge,deny,refuse,He had to concede that his opponent had played better.
conceited,having too high an opinion of oneself,arrogant,vain,humble,modest,The conceited boy thought he was better than everyone else.
conceivable,possible to imagine or believe,possible,imaginable,impossible,unthinkable,Every conceivable option was considered before deciding.
concentrated,focused strongly or made stronger,focused,intense,diluted,distracted,The concentrated juice needed water added to it.
concerted,done together by everyone involved,joint,combined,individual,separate,The concerted effort of the team led to victory.
conciliatory,trying to end an argument peacefully,peaceable,soothing,hostile,aggressive,Her conciliatory tone helped calm the angry customers.
concise,brief and clear,brief,short,lengthy,wordy,The concise instructions were easy to follow.
conclude,to end or reach a decision,finish,end,begin,start,The meeting will conclude at four o'clock.
conclusion,the end or final decision,ending,finish,beginning,start,The conclusion of the story surprised everyone.
conclusive,proving something definitely,definite,decisive,inconclusive,doubtful,The conclusive evidence proved he was innocent.
concur,to agree with someone,agree,consent,disagree,oppose,All the judges concurred that she was the winner.
condemn,to express strong disapproval,criticise,denounce,praise,approve,The headteacher condemned the bullying behaviour.
condescension,acting as if you are better than others,superiority,arrogance,humility,respect,His condescension towards the younger students was rude.
condone,to accept or forgive bad behaviour,accept,overlook,condemn,forbid,The school does not condone any form of cheating.
conducive,helping to make something happen,helpful,favourable,harmful,unhelpful,A quiet room is conducive to good study habits.
conferred,discussed or gave something,discussed,granted,withheld,refused,The teachers conferred about the best way to help him.
confine,to keep within limits or lock up,restrict,limit,free,release,The sick child was confined to bed for three days.
confiscate,to take something away as punishment,seize,take,return,give back,The teacher will confiscate any phones used in class.
confiscated,taken away by authority,seized,taken,returned,given back,The confiscated items were kept in the headteacher's office.
confound,to confuse or prove wrong,confuse,baffle,clarify,explain,The difficult riddle confounded even the cleverest students.
congenial,pleasant and friendly,pleasant,agreeable,unpleasant,unfriendly,The congenial atmosphere made everyone feel welcome.
connoisseur,an expert in matters of taste,expert,specialist,amateur,novice,The connoisseur could identify wines by their taste alone.
conquer,to defeat or overcome,defeat,overcome,surrender,lose,The army set out to conquer the neighbouring kingdom.
conscience,the sense of right and wrong,morals,ethics,immorality,wickedness,Her conscience told her to return the lost wallet.
conscientious,careful and thorough,diligent,careful,careless,negligent,The conscientious student always checked her work twice.
conscious,awake and aware of surroundings,aware,alert,unconscious,unaware,She was fully conscious after the operation.
consensus,general agreement among a group,agreement,accord,disagreement,discord,The committee reached a consensus on the new policy.
consent,permission or agreement,permission,approval,refusal,denial,You need parental consent to go on the school trip.
consenting,giving permission or agreement,agreeing,approving,refusing,denying,All consenting parties signed the agreement.
