word,meaning,synonyms,antonyms,example_sentences
drastic,"likely to have a strong or far-reaching effect","[""extreme"", ""severe"", ""radical""]","[""mild"", ""moderate"", ""gentle""]","[""Drastic measures were needed to solve the crisis.""]"
dread,"to fear something that might happen","[""fear"", ""worry about"", ""be scared""]","[""look forward to"", ""welcome"", ""anticipate""]","[""I dread going to the dentist.""]"
dubious,"hesitating or doubting; questionable","[""doubtful"", ""uncertain"", ""suspicious""]","[""certain"", ""reliable"", ""trustworthy""]","[""The claims are highly dubious.""]"
dull,"not interesting or not bright","[""boring"", ""dim"", ""plain""]","[""exciting"", ""bright"", ""interesting""]","[""The dull grey sky made everyone feel sleepy.""]"
duplicity,"deceitfulness in speech or conduct","[""deception"", ""dishonesty"", ""deceit""]","[""honesty"", ""sincerity"", ""candour""]","[""His duplicity was eventually exposed.""]"
duration,"the length of time something lasts","[""length"", ""period"", ""span""]","[""instant"", ""moment"", ""briefness""]","[""The duration of the film was two hours.""]"
dynamic,"constantly changing and full of energy","[""energetic"", ""active"", ""vibrant""]","[""static"", ""inactive"", ""stagnant""]","[""The city has a dynamic atmosphere.""]"
eager,"wanting to do something very much","[""keen"", ""enthusiastic"", ""excited""]","[""reluctant"", ""unwilling"", ""bored""]","[""The eager children waited for the party to start.""]"
earn,"to get something by working for it","[""gain"", ""deserve"", ""obtain""]","[""lose"", ""spend"", ""waste""]","[""You will earn pocket money for helping.""]"
ebullient,"cheerful and full of energy","[""enthusiastic"", ""exuberant"", ""lively""]","[""depressed"", ""subdued"", ""listless""]","[""Her ebullient personality was infectious.""]"
echo,"a sound that bounces back","[""repeat"", ""reflection"", ""reverberation""]","[""silence"", ""quiet"", ""stillness""]","[""We heard an echo in the empty hall.""]"
eclectic,"deriving ideas from various sources","[""varied"", ""diverse"", ""wide-ranging""]","[""narrow"", ""limited"", ""uniform""]","[""She has eclectic taste in music.""]"
eclipse,"to obscure or outshine something","[""surpass"", ""overshadow"", ""outshine""]","[""highlight"", ""illuminate"", ""reveal""]","[""Her performance eclipsed all others.""]"
economy,"the careful use of money or resources","[""saving"", ""thrift"", ""efficiency""]","[""waste"", ""extravagance"", ""excess""]","[""We must practise economy with our pocket money.""]"
effect,"a change caused by something","[""result"", ""impact"", ""outcome""]","[""cause"", ""reason"", ""origin""]","[""The effect of the rain was a flooded garden.""]"
efficacy,"the ability to produce the desired result","[""effectiveness"", ""efficiency"", ""potency""]","[""ineffectiveness"", ""failure"", ""impotence""]","[""The efficacy of the treatment was proven.""]"
effort,"trying hard to do something","[""attempt"", ""try"", ""work""]","[""laziness"", ""ease"", ""idleness""]","[""She put a lot of effort into her drawing.""]"
effusive,"expressing feelings freely","[""demonstrative"", ""gushing"", ""enthusiastic""]","[""restrained"", ""reserved"", ""cold""]","[""She was effusive in her thanks.""]"
egregious,"outstandingly bad; shocking","[""shocking"", ""appalling"", ""flagrant""]","[""excellent"", ""admirable"", ""exemplary""]","[""The error was egregious and unforgivable.""]"
elaborate,"involving many parts or details","[""detailed"", ""complex"", ""intricate""]","[""simple"", ""basic"", ""plain""]","[""She gave an elaborate explanation.""]"
elegant,"graceful and stylish","[""graceful"", ""stylish"", ""refined""]","[""clumsy"", ""plain"", ""ugly""]","[""The elegant dancer moved beautifully.""]"
elicit,"to draw out a response","[""evoke"", ""extract"", ""obtain""]","[""conceal"", ""suppress"", ""withhold""]","[""The question elicited an angry response."", ""The question was designed to elicit a response.""]"
eloquent,"fluent and persuasive in speech or writing","[""articulate"", ""expressive"", ""fluent"", ""persuasive""]","[""inarticulate"", ""stammering"", ""unclear""]","[""She gave an eloquent speech at assembly."", ""She gave an eloquent speech.""]"
elucidate,"to make something clear; explain","[""clarify"", ""explain"", ""illuminate""]","[""confuse"", ""obscure"", ""complicate""]","[""Please elucidate your position.""]"
elusive,"difficult to find catch or achieve","[""evasive"", ""hard to catch"", ""slippery""]","[""accessible"", ""available"", ""obvious""]","[""The elusive butterfly escaped our net."", ""The elusive fox escaped again."", ""The truth remains elusive.""]"
emancipate,"to set free from restriction","[""liberate"", ""free"", ""release""]","[""enslave"", ""restrict"", ""confine""]","[""The law emancipated many workers.""]"
embark,"to begin a course of action","[""begin"", ""start"", ""commence""]","[""end"", ""finish"", ""conclude""]","[""We will embark on a new journey.""]"
embarrass,"to make someone feel shy or ashamed","[""shame"", ""humiliate"", ""fluster""]","[""comfort"", ""reassure"", ""praise""]","[""Please do not embarrass me in front of my friends.""]"
embellish,"to make more attractive by adding details","[""decorate"", ""adorn"", ""enhance""]","[""simplify"", ""strip"", ""diminish""]","[""She tends to embellish her stories.""]"
emerge,"to come out or become visible","[""appear"", ""arise"", ""come out"", ""surface""]","[""disappear"", ""hide"", ""retreat""]","[""New evidence will emerge during the trial."", ""The butterfly will emerge from its cocoon.""]"
eminent,"famous and respected in a profession","[""distinguished"", ""renowned"", ""prominent""]","[""unknown"", ""obscure"", ""ordinary""]","[""The eminent scientist received an award.""]"
empathy,"the ability to understand others' feelings","[""compassion"", ""sympathy"", ""understanding""]","[""apathy"", ""callousness"", ""indifference""]","[""A good friend shows empathy when you are sad."", ""Nurses need empathy for patients."", ""She showed great empathy for the victims.""]"
empirical,"based on observation or experience","[""experiential"", ""practical"", ""observed""]","[""theoretical"", ""speculative"", ""hypothetical""]","[""The study provides empirical evidence.""]"
emulate,"to match or surpass by imitation","[""imitate"", ""copy"", ""mirror""]","[""differ"", ""originate"", ""lead""]","[""Young players emulate their heroes.""]"
enable,"to make something possible","[""allow"", ""permit"", ""help""]","[""prevent"", ""stop"", ""hinder""]","[""The ramp will enable wheelchair access.""]"
encounter,"to unexpectedly meet or experience","[""meet"", ""face"", ""experience""]","[""avoid"", ""miss"", ""escape""]","[""We might encounter wild animals on the walk.""]"
encourage,"to give someone confidence or support","[""support"", ""inspire"", ""motivate""]","[""discourage"", ""dishearten"", ""criticise""]","[""My parents encourage me to try new things.""]"
endeavour,"to try hard to achieve something","[""attempt"", ""strive"", ""try""]","[""abandon"", ""give up"", ""quit""]","[""We must endeavour to do better.""]"
endorse,"to publicly support or approve","[""approve"", ""recommend"", ""support""]","[""criticise"", ""oppose"", ""reject""]","[""Many celebrities endorse this charity.""]"
endure,"to put up with something difficult","[""bear"", ""tolerate"", ""withstand""]","[""surrender"", ""give up"", ""quit""]","[""We had to endure the long wait.""]"
enemy,"someone who wants to harm you","[""foe"", ""rival"", ""opponent""]","[""friend"", ""ally"", ""companion""]","[""The hero defeated his enemy.""]"
energetic,"having lots of energy and being active","[""lively"", ""active"", ""dynamic""]","[""tired"", ""sluggish"", ""lazy""]","[""The energetic puppy never stopped playing.""]"
enigma,"a person or thing that is mysterious","[""mystery"", ""puzzle"", ""riddle""]","[""solution"", ""clarity"", ""certainty""]","[""He remains an enigma to us all.""]"
enigmatic,"mysterious and difficult to understand","[""cryptic"", ""mysterious"", ""puzzling""]","[""clear"", ""obvious"", ""straightforward""]","[""The enigmatic smile made everyone curious.""]"
enmity,"the state of being an enemy","[""hostility"", ""animosity"", ""hatred""]","[""friendship"", ""amity"", ""goodwill""]","[""There was enmity between the rivals.""]"
enormous,"very large in size","[""huge"", ""massive"", ""gigantic""]","[""tiny"", ""small"", ""minute""]","[""The enormous elephant walked through the jungle.""]"
enrich,"to improve the quality of something","[""better"", ""enhance"", ""improve""]","[""deplete"", ""diminish"", ""impoverish""]","[""Reading will enrich your vocabulary.""]"
ensure,"to make certain something happens","[""guarantee"", ""make sure"", ""secure""]","[""risk"", ""endanger"", ""neglect""]","[""Please ensure all windows are closed.""]"
enthusiastic,"showing great excitement and interest","[""eager"", ""keen"", ""excited""]","[""bored"", ""uninterested"", ""indifferent""]","[""The enthusiastic pupils loved learning about dinosaurs.""]"
entice,"to attract by offering something desirable","[""attract"", ""lure"", ""tempt""]","[""deter"", ""discourage"", ""repel""]","[""The smell of cake will entice the children.""]"
entire,"whole; with nothing missing","[""whole"", ""complete"", ""full""]","[""partial"", ""incomplete"", ""part""]","[""I ate the entire pizza by myself.""]"
enumerate,"to mention things one by one","[""list"", ""count"", ""itemise""]","[""summarise"", ""generalise""]","[""Let me enumerate the main points.""]"
environment,"the surroundings in which you live","[""surroundings"", ""habitat"", ""setting""]","[""isolation"", ""emptiness"", ""void""]","[""We must protect our environment.""]"
envy,"wanting what someone else has","[""jealousy"", ""resentment"", ""longing""]","[""contentment"", ""satisfaction"", ""admiration""]","[""I felt envy when I saw her new bike.""]"
ephemeral,"lasting for a very short time","[""fleeting"", ""transient"", ""brief""]","[""permanent"", ""lasting"", ""enduring""]","[""Fame can be ephemeral.""]"
equal,"the same in amount or value","[""same"", ""identical"", ""even""]","[""unequal"", ""different"", ""unfair""]","[""Everyone deserves equal treatment.""]"
escape,"to get away from something","[""flee"", ""run away"", ""break free""]","[""capture"", ""catch"", ""trap""]","[""The rabbit managed to escape from the fox.""]"
essential,"absolutely necessary; very important","[""necessary"", ""vital"", ""crucial""]","[""unnecessary"", ""optional"", ""extra""]","[""Water is essential for all living things.""]"
establish,"to set up or start something","[""create"", ""set up"", ""found""]","[""destroy"", ""end"", ""abolish""]","[""They will establish a new club at school.""]"
estimate,"to guess the amount or value of something","[""guess"", ""calculate"", ""approximate""]","[""measure"", ""know exactly"", ""count""]","[""Can you estimate how many sweets are in the jar?""]"
eventually,"after a long time or in the end","[""finally"", ""in the end"", ""ultimately""]","[""immediately"", ""never"", ""at first""]","[""Eventually the rain stopped and the sun came out.""]"
evidence,"facts that show something is true","[""proof"", ""clues"", ""signs""]","[""doubt"", ""uncertainty"", ""disproof""]","[""The muddy footprints were evidence of the dog.""]"
evident,"clearly seen or understood","[""obvious"", ""clear"", ""apparent""]","[""hidden"", ""unclear"", ""obscure""]","[""It was evident that she had been crying.""]"
evil,"very bad or wicked","[""wicked"", ""bad"", ""cruel""]","[""good"", ""kind"", ""virtuous""]","[""The evil witch cast a spell on the princess.""]"
exact,"completely correct and accurate","[""precise"", ""accurate"", ""correct""]","[""approximate"", ""rough"", ""vague""]","[""Please give me the exact time.""]"
examine,"to look at something carefully","[""inspect"", ""study"", ""check""]","[""ignore"", ""overlook"", ""glance""]","[""The doctor will examine your throat.""]"
excellent,"extremely good; outstanding","[""superb"", ""wonderful"", ""fantastic""]","[""terrible"", ""awful"", ""poor""]","[""You did an excellent job on your project.""]"
excite,"to make someone feel eager and enthusiastic","[""thrill"", ""delight"", ""stir""]","[""bore"", ""calm"", ""disappoint""]","[""The news about the trip will excite everyone.""]"
exclude,"to leave someone or something out","[""leave out"", ""omit"", ""reject""]","[""include"", ""accept"", ""welcome""]","[""Do not exclude anyone from the game.""]"
excuse,"a reason given for doing something wrong","[""reason"", ""explanation"", ""justification""]","[""blame"", ""accusation"", ""responsibility""]","[""What is your excuse for being late?""]"
exist,"to be real or alive","[""live"", ""be"", ""survive""]","[""die"", ""perish"", ""vanish""]","[""Dinosaurs no longer exist on Earth.""]"
expand,"to become larger or make something bigger","[""grow"", ""enlarge"", ""extend""]","[""shrink"", ""reduce"", ""contract""]","[""The balloon will expand as you blow into it.""]"
expect,"to think something will happen","[""anticipate"", ""await"", ""predict""]","[""doubt"", ""be surprised"", ""despair""]","[""I expect you to be on time.""]"
expensive,"costing a lot of money","[""costly"", ""pricey"", ""dear""]","[""cheap"", ""affordable"", ""inexpensive""]","[""The diamond ring was very expensive.""]"
experience,"something that happens to you","[""event"", ""encounter"", ""adventure""]","[""inexperience"", ""unfamiliarity""]","[""The camping trip was a great experience.""]"
expert,"someone who knows a lot about something","[""specialist"", ""professional"", ""master""]","[""beginner"", ""amateur"", ""novice""]","[""She is an expert at playing chess.""]"
explain,"to make something clear and easy to understand","[""describe"", ""clarify"", ""teach""]","[""confuse"", ""complicate"", ""hide""]","[""Please explain how to solve this problem.""]"
explore,"to travel around a new place to learn about it","[""investigate"", ""discover"", ""search""]","[""ignore"", ""avoid"", ""stay""]","[""We went to explore the forest.""]"
express,"to show your feelings or ideas","[""show"", ""communicate"", ""convey""]","[""hide"", ""suppress"", ""conceal""]","[""He used art to express his feelings.""]"
extend,"to make something longer or larger","[""stretch"", ""lengthen"", ""expand""]","[""shorten"", ""reduce"", ""shrink""]","[""We need to extend the deadline.""]"
external,"on or from the outside","[""outer"", ""outside"", ""exterior""]","[""internal"", ""inner"", ""inside""]","[""The external walls need painting.""]"
extraordinary,"very unusual or remarkable","[""amazing"", ""remarkable"", ""exceptional""]","[""ordinary"", ""normal"", ""common""]","[""The acrobat performed an extraordinary trick.""]"
extreme,"very great or severe","[""intense"", ""severe"", ""exceptional""]","[""mild"", ""moderate"", ""slight""]","[""The extreme cold made everyone shiver.""]"
fair,"treating everyone equally; or light in colour","[""just"", ""equal"", ""reasonable""]","[""unfair"", ""biased"", ""dark""]","[""The teacher was fair to all students.""]"
familiar,"well known from past experience","[""known"", ""recognised"", ""common""]","[""unfamiliar"", ""strange"", ""unknown""]","[""The song sounded familiar to me.""]"
feature,"a distinctive part or quality","[""characteristic"", ""quality"", ""aspect""]","[""defect"", ""flaw"", ""weakness""]","[""The best feature of the house is the garden.""]"
fierce,"very aggressive or powerful","[""ferocious"", ""savage"", ""wild""]","[""gentle"", ""mild"", ""tame""]","[""The fierce lion roared loudly.""]"
focus,"to concentrate attention on something","[""concentrate"", ""centre"", ""direct""]","[""distract"", ""scatter"", ""ignore""]","[""Please focus on your work.""]"
fortunate,"having good luck","[""lucky"", ""blessed"", ""favoured""]","[""unfortunate"", ""unlucky"", ""cursed""]","[""We were fortunate to find shelter before the rain.""]"
fragile,"easily broken or damaged","[""delicate"", ""breakable"", ""weak""]","[""strong"", ""sturdy"", ""tough""]","[""Be careful with the fragile glass ornament.""]"
function,"the purpose or role of something","[""purpose"", ""role"", ""job""]","[""malfunction"", ""failure"", ""uselessness""]","[""The function of the heart is to pump blood.""]"
generous,"willing to give and share with others","[""kind"", ""giving"", ""charitable""]","[""selfish"", ""greedy"", ""mean""]","[""My generous friend shared her lunch with me.""]"
gentle,"soft and kind; not rough or harsh","[""soft"", ""tender"", ""mild""]","[""rough"", ""harsh"", ""violent""]","[""The gentle breeze cooled us down on the hot day.""]"
gloomy,"dark and dull; or feeling sad","[""dark"", ""dim"", ""dismal""]","[""bright"", ""cheerful"", ""sunny""]","[""The gloomy weather made everyone feel tired.""]"
grateful,"feeling thankful for something","[""thankful"", ""appreciative"", ""obliged""]","[""ungrateful"", ""thankless"", ""unappreciative""]","[""I am grateful for your help with my homework.""]"
hesitate,"to pause before doing something","[""pause"", ""delay"", ""wait""]","[""proceed"", ""continue"", ""rush""]","[""Do not hesitate to ask if you need help.""]"
honest,"telling the truth and not cheating","[""truthful"", ""sincere"", ""trustworthy""]","[""dishonest"", ""lying"", ""deceitful""]","[""An honest person always tells the truth.""]"
imagine,"to form a picture in your mind","[""picture"", ""visualise"", ""dream""]","[""forget"", ""ignore"", ""overlook""]","[""Close your eyes and imagine you are on a beach.""]"
important,"having great value or significance","[""significant"", ""valuable"", ""essential""]","[""unimportant"", ""trivial"", ""minor""]","[""It is important to brush your teeth every day.""]"
incredible,"hard to believe; amazing","[""amazing"", ""unbelievable"", ""remarkable""]","[""ordinary"", ""believable"", ""usual""]","[""The magician performed an incredible trick.""]"
initial,"happening at the beginning","[""first"", ""starting"", ""opening""]","[""final"", ""last"", ""ending""]","[""My initial reaction was surprise.""]"
intelligent,"able to learn and understand things quickly","[""clever"", ""smart"", ""bright""]","[""unintelligent"", ""foolish"", ""dim""]","[""The intelligent student solved the puzzle quickly.""]"
internal,"inside or within something","[""inner"", ""inside"", ""interior""]","[""external"", ""outer"", ""outside""]","[""The internal parts of the machine are complex.""]"
interpret,"to explain the meaning of something","[""explain"", ""translate"", ""understand""]","[""misunderstand"", ""confuse"", ""distort""]","[""Can you interpret this poem for me?""]"
jealous,"wanting what someone else has","[""envious"", ""resentful"", ""covetous""]","[""content"", ""satisfied"", ""happy""]","[""Try not to feel jealous of your friend's new toy.""]"
journey,"travelling from one place to another","[""trip"", ""voyage"", ""travel""]","[""stay"", ""arrival"", ""destination""]","[""The journey to the seaside took two hours.""]"
joyful,"feeling or showing great happiness","[""happy"", ""cheerful"", ""delighted""]","[""sad"", ""miserable"", ""unhappy""]","[""The children were joyful on Christmas morning.""]"
magnificent,"extremely beautiful or impressive","[""splendid"", ""grand"", ""stunning""]","[""ordinary"", ""plain"", ""ugly""]","[""The magnificent palace had golden gates.""]"
major,"important or greater in size","[""important"", ""main"", ""significant""]","[""minor"", ""small"", ""unimportant""]","[""This is a major discovery for science.""]"
minor,"small or less important","[""small"", ""lesser"", ""slight""]","[""major"", ""important"", ""significant""]","[""It was only a minor scratch on my knee.""]"
miserable,"very unhappy or uncomfortable","[""unhappy"", ""sad"", ""wretched""]","[""happy"", ""cheerful"", ""content""]","[""The cold wet weather made us feel miserable.""]"
